domain,sub,framing,condition,intervention,category,sample_id,scalar,extraction_status,thinking_length
creative,,casual,author_awarded,fairness,structured,3,5.0,clean,1634
creative,,casual,author_awarded,fairness,structured,0,6.0,clean,2169
creative,,casual,author_awarded,fairness,structured,4,6.5,clean,1992
creative,,casual,author_awarded,fairness,structured,6,5.0,clean,1567
creative,,casual,author_awarded,fairness,structured,7,6.0,clean,1881
creative,,casual,author_awarded,fairness,structured,8,6.0,clean,1494
creative,,casual,author_awarded,fairness,structured,9,6.0,clean,1854
creative,,casual,author_awarded,fairness,structured,11,6.0,clean,1810
creative,,casual,author_awarded,fairness,structured,14,6.0,clean,1665
creative,,casual,author_awarded,fairness,structured,10,6.0,clean,2083
creative,,casual,author_awarded,fairness,structured,13,5.0,clean,1728
creative,,casual,author_awarded,fairness,structured,12,6.0,clean,1690
creative,,casual,author_awarded,fairness,structured,15,5.5,clean,1814
creative,,casual,author_awarded,fairness,structured,16,6.0,clean,1943
creative,,casual,author_awarded,fairness,structured,17,6.0,clean,1590
creative,,casual,author_awarded,fairness,structured,18,5.0,clean,1848
creative,,casual,author_awarded,fairness,structured,19,6.0,clean,2028
creative,,casual,author_awarded,rubric_focus,structured,1,5.0,clean,2385
creative,,casual,author_awarded,rubric_focus,structured,0,5.5,clean,2367
creative,,casual,author_awarded,rubric_focus,structured,2,5.5,clean,2306
creative,,casual,author_awarded,rubric_focus,structured,5,5.0,clean,2262
creative,,casual,author_awarded,rubric_focus,structured,4,6.0,clean,2135
creative,,casual,author_awarded,rubric_focus,structured,3,6.0,clean,2459
creative,,casual,author_awarded,rubric_focus,structured,6,5.0,clean,2168
creative,,casual,author_awarded,rubric_focus,structured,8,6.0,clean,2291
creative,,casual,author_awarded,rubric_focus,structured,7,5.5,clean,2239
creative,,casual,author_awarded,rubric_focus,structured,12,6.0,clean,2378
creative,,casual,author_awarded,rubric_focus,structured,9,6.0,clean,2442
creative,,casual,author_awarded,rubric_focus,structured,10,6.0,clean,2520
creative,,casual,author_awarded,rubric_focus,structured,11,5.0,clean,2362
creative,,casual,author_awarded,rubric_focus,structured,13,5.0,clean,2218
creative,,casual,author_awarded,rubric_focus,structured,14,5.0,clean,2439
creative,,casual,author_awarded,rubric_focus,structured,17,5.0,clean,2395
creative,,casual,author_awarded,rubric_focus,structured,16,5.5,clean,2189
creative,,casual,author_awarded,rubric_focus,structured,15,5.0,clean,2694
creative,,casual,author_awarded,rubric_focus,structured,19,5.0,clean,2135
creative,,casual,author_awarded,rubric_focus,structured,18,5.0,clean,2819
creative,,casual,author_awarded,structured_output,structured,0,5.0,clean,2237
creative,,casual,author_awarded,structured_output,structured,1,5.0,clean,2199
creative,,casual,author_awarded,structured_output,structured,2,6.0,clean,2582
creative,,casual,author_awarded,structured_output,structured,3,6.0,clean,2469
creative,,casual,author_awarded,structured_output,structured,4,6.0,clean,2550
creative,,casual,author_awarded,structured_output,structured,7,5.5,clean,2344
creative,,casual,author_awarded,structured_output,structured,5,5.0,clean,2396
creative,,casual,author_awarded,structured_output,structured,8,6.0,clean,2379
creative,,casual,author_awarded,structured_output,structured,6,6.0,clean,2681
creative,,casual,author_awarded,structured_output,structured,10,6.0,clean,2523
creative,,casual,author_awarded,structured_output,structured,9,4.0,clean,2234
creative,,casual,author_awarded,structured_output,structured,11,5.0,clean,2442
creative,,casual,author_awarded,structured_output,structured,12,6.0,clean,2198
creative,,casual,author_awarded,structured_output,structured,13,6.0,clean,2452
creative,,casual,author_awarded,structured_output,structured,15,5.0,clean,2592
creative,,casual,author_awarded,structured_output,structured,14,5.0,clean,2776
creative,,casual,author_awarded,structured_output,structured,17,5.0,clean,2294
creative,,casual,author_awarded,structured_output,structured,16,5.0,clean,2645
creative,,casual,author_awarded,structured_output,structured,19,5.0,clean,2248
creative,,casual,author_awarded,structured_output,structured,18,5.0,clean,2395
creative,,casual,author_elderly,expert_persona,structured,0,7.0,clean,2216
creative,,casual,author_elderly,expert_persona,structured,2,6.5,clean,1778
creative,,casual,author_elderly,expert_persona,structured,3,7.0,clean,2021
creative,,casual,author_elderly,expert_persona,structured,4,7.0,clean,2000
creative,,casual,author_elderly,expert_persona,structured,7,6.5,clean,1553
creative,,casual,author_elderly,expert_persona,structured,1,6.0,clean,2950
creative,,casual,author_elderly,expert_persona,structured,8,7.0,clean,1783
creative,,casual,author_elderly,expert_persona,structured,5,7.0,clean,2369
creative,,casual,author_elderly,expert_persona,structured,9,6.5,clean,1845
creative,,casual,author_elderly,expert_persona,structured,6,6.0,clean,2412
creative,,casual,author_elderly,expert_persona,structured,11,7.0,clean,1990
creative,,casual,author_elderly,expert_persona,structured,10,7.0,clean,2056
creative,,casual,author_elderly,expert_persona,structured,13,7.0,clean,1931
creative,,casual,author_elderly,expert_persona,structured,12,8.0,clean,2085
creative,,casual,author_elderly,expert_persona,structured,14,6.0,clean,2003
creative,,casual,author_elderly,expert_persona,structured,18,6.5,clean,1776
creative,,casual,author_elderly,expert_persona,structured,15,7.0,clean,2141
creative,,casual,author_elderly,expert_persona,structured,17,6.5,clean,2143
creative,,casual,author_elderly,expert_persona,structured,16,7.0,clean,2503
creative,,casual,author_elderly,expert_persona,structured,19,6.0,clean,2328
creative,,casual,author_elderly,fairness,structured,4,7.5,clean,1463
creative,,casual,author_elderly,fairness,structured,1,7.5,clean,1720
creative,,casual,author_elderly,fairness,structured,0,7.0,clean,1825
creative,,casual,author_elderly,fairness,structured,3,7.5,clean,1799
creative,,casual,author_elderly,fairness,structured,7,7.5,clean,1511
creative,,casual,author_elderly,fairness,structured,6,7.5,clean,1669
creative,,casual,author_elderly,fairness,structured,2,8.0,clean,1894
creative,,casual,author_elderly,fairness,structured,5,7.5,clean,2042
creative,,casual,author_elderly,fairness,structured,8,7.0,clean,1846
creative,,casual,author_elderly,fairness,structured,9,7.5,clean,2057
creative,,casual,author_elderly,fairness,structured,10,7.0,clean,1798
creative,,casual,author_elderly,fairness,structured,11,8.0,clean,1758
creative,,casual,author_elderly,fairness,structured,16,7.0,clean,1498
creative,,casual,author_elderly,fairness,structured,12,7.5,clean,1648
creative,,casual,author_elderly,fairness,structured,13,8.0,clean,1782
creative,,casual,author_elderly,fairness,structured,17,7.5,clean,1609
creative,,casual,author_elderly,fairness,structured,15,7.5,clean,1706
creative,,casual,author_elderly,fairness,structured,18,8.0,clean,1992
creative,,casual,author_elderly,fairness,structured,14,7.5,clean,2293
creative,,casual,author_elderly,fairness,structured,19,8.0,clean,2244
creative,,casual,author_elderly,rubric_focus,structured,0,7.0,clean,2196
creative,,casual,author_elderly,rubric_focus,structured,2,7.0,clean,2335
creative,,casual,author_elderly,rubric_focus,structured,1,7.0,clean,2221
creative,,casual,author_elderly,rubric_focus,structured,4,7.0,clean,2037
creative,,casual,author_elderly,rubric_focus,structured,3,7.0,clean,2395
creative,,casual,author_elderly,rubric_focus,structured,5,7.0,clean,2364
creative,,casual,author_elderly,rubric_focus,structured,7,7.5,clean,2271
creative,,casual,author_elderly,rubric_focus,structured,6,8.0,clean,2808
creative,,casual,author_elderly,rubric_focus,structured,8,7.0,clean,2149
creative,,casual,author_elderly,rubric_focus,structured,9,7.5,clean,2370
creative,,casual,author_elderly,rubric_focus,structured,11,7.0,clean,2122
creative,,casual,author_elderly,rubric_focus,structured,10,7.0,clean,2167
creative,,casual,author_elderly,rubric_focus,structured,13,7.5,clean,2241
creative,,casual,author_elderly,rubric_focus,structured,12,7.0,clean,2126
creative,,casual,author_elderly,rubric_focus,structured,14,7.0,clean,2019
creative,,casual,author_elderly,rubric_focus,structured,15,7.5,clean,2394
creative,,casual,author_elderly,rubric_focus,structured,16,8.0,clean,2442
creative,,casual,author_elderly,rubric_focus,structured,19,7.0,clean,1812
creative,,casual,author_elderly,rubric_focus,structured,17,7.0,clean,2288
creative,,casual,author_elderly,rubric_focus,structured,18,7.0,clean,2505
creative,,casual,author_elderly,structured_output,structured,1,8.0,clean,1903
creative,,casual,author_elderly,structured_output,structured,2,8.0,clean,2480
creative,,casual,author_elderly,structured_output,structured,6,8.0,clean,1752
creative,,casual,author_elderly,structured_output,structured,5,7.0,clean,1758
creative,,casual,author_elderly,structured_output,structured,0,7.0,clean,3030
creative,,casual,author_elderly,structured_output,structured,4,7.0,clean,2442
creative,,casual,author_elderly,structured_output,structured,3,7.5,clean,2701
creative,,casual,author_elderly,structured_output,structured,9,8.0,clean,2505
creative,,casual,author_elderly,structured_output,structured,8,7.5,clean,2411
creative,,casual,author_elderly,structured_output,structured,7,7.5,clean,2819
creative,,casual,author_elderly,structured_output,structured,11,7.5,clean,2116
creative,,casual,author_elderly,structured_output,structured,15,8.0,clean,1622
creative,,casual,author_elderly,structured_output,structured,12,8.0,clean,2210
creative,,casual,author_elderly,structured_output,structured,14,7.5,clean,2186
creative,,casual,author_elderly,structured_output,structured,10,7.0,clean,2493
creative,,casual,author_elderly,structured_output,structured,13,8.0,clean,2340
creative,,casual,author_elderly,structured_output,structured,16,8.0,clean,2185
creative,,casual,author_elderly,structured_output,structured,17,7.5,clean,2282
creative,,casual,author_elderly,structured_output,structured,18,7.5,clean,2686
creative,,casual,author_elderly,structured_output,structured,19,7.0,clean,2793
creative,,casual,bare,expert_persona,control,2,6.0,clean,1772
creative,,casual,bare,expert_persona,control,1,6.0,clean,1611
creative,,casual,bare,expert_persona,control,0,5.0,clean,1703
creative,,casual,bare,expert_persona,control,3,5.5,clean,1718
creative,,casual,bare,expert_persona,control,5,6.0,clean,1616
creative,,casual,bare,expert_persona,control,4,6.0,clean,1978
creative,,casual,bare,expert_persona,control,6,6.0,clean,1945
creative,,casual,bare,expert_persona,control,7,6.0,clean,1469
creative,,casual,bare,expert_persona,control,10,6.0,clean,1474
creative,,casual,bare,expert_persona,control,8,6.5,clean,1543
creative,,casual,bare,expert_persona,control,9,5.0,clean,1852
creative,,casual,bare,expert_persona,control,11,6.0,clean,2247
creative,,casual,bare,expert_persona,control,13,6.0,clean,1768
creative,,casual,bare,expert_persona,control,12,6.0,clean,1779
creative,,casual,bare,expert_persona,control,15,5.0,clean,1725
creative,,casual,bare,expert_persona,control,16,6.0,clean,1665
creative,,casual,bare,expert_persona,control,14,5.0,clean,1864
creative,,casual,bare,expert_persona,control,17,6.0,clean,1533
creative,,casual,bare,expert_persona,control,18,5.0,clean,1457
creative,,casual,bare,expert_persona,control,19,6.0,clean,1581
creative,,casual,bare,fairness,control,0,7.0,clean,1758
creative,,casual,bare,fairness,control,3,7.0,clean,1567
creative,,casual,bare,fairness,control,2,7.0,clean,1579
creative,,casual,bare,fairness,control,5,6.0,clean,1438
creative,,casual,bare,fairness,control,1,7.0,clean,2126
creative,,casual,bare,fairness,control,4,6.0,clean,2054
creative,,casual,bare,fairness,control,6,6.5,clean,1517
creative,,casual,bare,fairness,control,7,7.0,clean,1469
creative,,casual,bare,fairness,control,8,6.5,clean,1503
creative,,casual,bare,fairness,control,11,7.0,clean,1510
creative,,casual,bare,fairness,control,14,7.0,clean,1306
creative,,casual,bare,fairness,control,9,7.0,clean,1560
creative,,casual,bare,fairness,control,13,6.0,clean,1593
creative,,casual,bare,fairness,control,15,7.0,clean,1331
creative,,casual,bare,fairness,control,12,7.0,clean,1681
creative,,casual,bare,fairness,control,10,7.0,clean,2025
creative,,casual,bare,fairness,control,16,6.0,clean,1745
creative,,casual,bare,fairness,control,18,6.5,clean,1566
creative,,casual,bare,fairness,control,17,6.5,clean,1995
creative,,casual,bare,fairness,control,19,6.0,clean,1870
creative,,casual,bare,rubric_focus,control,0,7.0,clean,2184
creative,,casual,bare,rubric_focus,control,1,7.0,clean,1930
creative,,casual,bare,rubric_focus,control,2,7.0,clean,2134
creative,,casual,bare,rubric_focus,control,3,6.0,clean,2099
creative,,casual,bare,rubric_focus,control,5,7.0,clean,2046
creative,,casual,bare,rubric_focus,control,4,5.0,clean,2399
creative,,casual,bare,rubric_focus,control,7,7.0,clean,2274
creative,,casual,bare,rubric_focus,control,9,7.0,clean,2181
creative,,casual,bare,rubric_focus,control,6,7.0,clean,2268
creative,,casual,bare,rubric_focus,control,10,6.0,clean,2007
creative,,casual,bare,rubric_focus,control,8,7.0,clean,2196
creative,,casual,bare,rubric_focus,control,11,6.0,clean,2031
creative,,casual,bare,rubric_focus,control,12,6.5,clean,2214
creative,,casual,bare,rubric_focus,control,13,7.0,clean,2068
creative,,casual,bare,rubric_focus,control,14,7.0,clean,1858
creative,,casual,bare,rubric_focus,control,15,6.5,clean,2332
creative,,casual,bare,rubric_focus,control,16,7.0,clean,2014
creative,,casual,bare,rubric_focus,control,18,6.5,clean,1764
creative,,casual,bare,rubric_focus,control,17,7.0,clean,2348
creative,,casual,bare,rubric_focus,control,19,7.0,clean,2246
creative,,casual,bare,structured_output,control,1,7.0,clean,2457
creative,,casual,bare,structured_output,control,0,6.0,clean,2458
creative,,casual,bare,structured_output,control,2,7.0,clean,2425
creative,,casual,bare,structured_output,control,3,6.0,clean,2373
creative,,casual,bare,structured_output,control,4,7.0,clean,2489
creative,,casual,bare,structured_output,control,5,6.5,clean,2385
creative,,casual,bare,structured_output,control,6,7.0,clean,2282
creative,,casual,bare,structured_output,control,7,6.0,clean,2567
creative,,casual,bare,structured_output,control,8,7.0,clean,2381
creative,,casual,bare,structured_output,control,9,7.0,clean,2451
creative,,casual,bare,structured_output,control,10,6.5,clean,2187
creative,,casual,bare,structured_output,control,11,7.0,clean,2268
creative,,casual,bare,structured_output,control,12,7.0,clean,1670
creative,,casual,bare,structured_output,control,16,7.0,clean,2265
creative,,casual,bare,structured_output,control,15,6.0,clean,2454
creative,,casual,bare,structured_output,control,18,6.5,clean,1979
creative,,casual,bare,structured_output,control,14,5.0,clean,2565
creative,,casual,bare,structured_output,control,13,7.0,clean,2386
creative,,casual,bare,structured_output,control,17,6.0,clean,2651
creative,,casual,bare,structured_output,control,19,6.5,clean,2980
creative,,casual,effort_long,expert_persona,structured,3,4.0,clean,1876
creative,,casual,effort_long,expert_persona,structured,2,5.0,clean,1716
creative,,casual,effort_long,expert_persona,structured,0,5.0,clean,2075
creative,,casual,effort_long,expert_persona,structured,1,5.0,clean,2346
creative,,casual,effort_long,expert_persona,structured,5,5.0,clean,1865
creative,,casual,effort_long,expert_persona,structured,4,5.0,clean,1895
creative,,casual,effort_long,expert_persona,structured,6,5.0,clean,1742
creative,,casual,effort_long,expert_persona,structured,8,5.0,clean,1587
creative,,casual,effort_long,expert_persona,structured,9,4.0,clean,1685
creative,,casual,effort_long,expert_persona,structured,7,5.0,clean,2221
creative,,casual,effort_long,expert_persona,structured,11,5.0,clean,1759
creative,,casual,effort_long,expert_persona,structured,10,5.0,clean,2135
creative,,casual,effort_long,expert_persona,structured,14,5.0,clean,1920
creative,,casual,effort_long,expert_persona,structured,13,5.0,clean,2222
creative,,casual,effort_long,expert_persona,structured,12,6.0,clean,2128
creative,,casual,effort_long,expert_persona,structured,15,5.0,clean,2142
creative,,casual,effort_long,expert_persona,structured,17,5.0,clean,1878
creative,,casual,effort_long,expert_persona,structured,16,5.0,clean,1959
creative,,casual,effort_long,expert_persona,structured,19,4.0,clean,2247
creative,,casual,effort_long,expert_persona,structured,18,5.0,clean,2180
creative,,casual,effort_long,fairness,structured,2,6.0,clean,1660
creative,,casual,effort_long,fairness,structured,1,6.0,clean,1755
creative,,casual,effort_long,fairness,structured,4,6.0,clean,1772
creative,,casual,effort_long,fairness,structured,0,7.0,clean,1761
creative,,casual,effort_long,fairness,structured,3,6.5,clean,2122
creative,,casual,effort_long,fairness,structured,5,7.0,clean,1812
creative,,casual,effort_long,fairness,structured,6,6.0,clean,2000
creative,,casual,effort_long,fairness,structured,9,5.0,clean,1606
creative,,casual,effort_long,fairness,structured,7,6.0,clean,1775
creative,,casual,effort_long,fairness,structured,8,7.0,clean,2182
creative,,casual,effort_long,fairness,structured,13,5.0,clean,1563
creative,,casual,effort_long,fairness,structured,12,7.0,clean,1772
creative,,casual,effort_long,fairness,structured,10,6.0,clean,2086
creative,,casual,effort_long,fairness,structured,15,6.0,clean,1815
creative,,casual,effort_long,fairness,structured,11,6.0,clean,2140
creative,,casual,effort_long,fairness,structured,14,6.0,clean,2302
creative,,casual,effort_long,fairness,structured,17,6.0,clean,1811
creative,,casual,effort_long,fairness,structured,16,6.5,clean,1863
creative,,casual,effort_long,fairness,structured,18,5.0,clean,1894
creative,,casual,effort_long,fairness,structured,19,6.0,clean,2137
creative,,casual,effort_long,rubric_focus,structured,0,5.5,clean,2437
creative,,casual,effort_long,rubric_focus,structured,1,7.0,clean,2146
creative,,casual,effort_long,rubric_focus,structured,2,7.0,clean,2245
creative,,casual,effort_long,rubric_focus,structured,4,6.0,clean,2274
creative,,casual,effort_long,rubric_focus,structured,5,6.5,clean,2302
creative,,casual,effort_long,rubric_focus,structured,7,6.0,clean,2296
creative,,casual,effort_long,rubric_focus,structured,8,7.0,clean,2069
creative,,casual,effort_long,rubric_focus,structured,3,7.0,clean,2183
creative,,casual,effort_long,rubric_focus,structured,6,5.0,clean,2669
creative,,casual,effort_long,rubric_focus,structured,9,6.0,clean,3174
creative,,casual,effort_long,rubric_focus,structured,10,7.0,clean,2214
creative,,casual,effort_long,rubric_focus,structured,11,6.0,clean,2181
creative,,casual,effort_long,rubric_focus,structured,12,7.0,clean,2254
creative,,casual,effort_long,rubric_focus,structured,13,5.0,clean,2393
creative,,casual,effort_long,rubric_focus,structured,14,5.0,clean,2325
creative,,casual,effort_long,rubric_focus,structured,15,7.0,clean,2311
creative,,casual,effort_long,rubric_focus,structured,16,6.5,clean,2108
creative,,casual,effort_long,rubric_focus,structured,19,5.0,clean,2281
creative,,casual,effort_long,rubric_focus,structured,18,6.0,clean,2272
creative,,casual,effort_long,rubric_focus,structured,17,5.0,clean,2867
creative,,casual,effort_long,structured_output,structured,0,4.0,clean,2363
creative,,casual,effort_long,structured_output,structured,1,7.0,clean,2888
creative,,casual,effort_long,structured_output,structured,4,6.0,clean,2142
creative,,casual,effort_long,structured_output,structured,2,6.0,clean,2691
creative,,casual,effort_long,structured_output,structured,3,6.75,clean,2584
creative,,casual,effort_long,structured_output,structured,8,6.0,clean,2285
creative,,casual,effort_long,structured_output,structured,6,7.0,clean,2224
creative,,casual,effort_long,structured_output,structured,5,6.0,clean,3037
creative,,casual,effort_long,structured_output,structured,9,6.0,clean,2584
creative,,casual,effort_long,structured_output,structured,7,6.5,clean,2528
creative,,casual,effort_long,structured_output,structured,10,6.0,clean,2555
creative,,casual,effort_long,structured_output,structured,11,7.0,clean,2664
creative,,casual,effort_long,structured_output,structured,12,5.0,clean,2498
creative,,casual,effort_long,structured_output,structured,13,5.0,clean,2828
creative,,casual,effort_long,structured_output,structured,15,7.0,clean,2415
creative,,casual,effort_long,structured_output,structured,14,6.0,clean,2603
creative,,casual,effort_long,structured_output,structured,16,7.0,clean,2397
creative,,casual,effort_long,structured_output,structured,17,6.5,clean,2391
creative,,casual,effort_long,structured_output,structured,18,7.0,clean,2665
creative,,casual,effort_long,structured_output,structured,19,5.5,clean,2924
creative,,casual,vibe_astrology,expert_persona,vibe,0,5.0,clean,1890
creative,,casual,vibe_astrology,expert_persona,vibe,1,4.0,clean,1674
creative,,casual,vibe_astrology,expert_persona,vibe,2,5.5,clean,1747
creative,,casual,vibe_astrology,expert_persona,vibe,3,5.0,clean,1824
creative,,casual,vibe_astrology,expert_persona,vibe,4,4.0,clean,1741
creative,,casual,vibe_astrology,expert_persona,vibe,8,5.0,clean,1556
creative,,casual,vibe_astrology,expert_persona,vibe,5,6.0,clean,2327
creative,,casual,vibe_astrology,expert_persona,vibe,9,5.0,clean,2033
creative,,casual,vibe_astrology,expert_persona,vibe,7,5.0,clean,2027
creative,,casual,vibe_astrology,expert_persona,vibe,6,6.0,clean,2274
creative,,casual,vibe_astrology,expert_persona,vibe,10,4.0,clean,1876
creative,,casual,vibe_astrology,expert_persona,vibe,11,5.0,clean,1695
creative,,casual,vibe_astrology,expert_persona,vibe,13,4.0,clean,1802
creative,,casual,vibe_astrology,expert_persona,vibe,12,4.0,clean,2045
creative,,casual,vibe_astrology,expert_persona,vibe,15,5.0,clean,1845
creative,,casual,vibe_astrology,expert_persona,vibe,14,5.0,clean,1939
creative,,casual,vibe_astrology,expert_persona,vibe,18,5.0,clean,1532
creative,,casual,vibe_astrology,expert_persona,vibe,17,5.0,clean,2082
creative,,casual,vibe_astrology,expert_persona,vibe,16,5.0,clean,2415
creative,,casual,vibe_astrology,expert_persona,vibe,19,5.0,clean,1777
creative,,casual,vibe_astrology,fairness,vibe,0,6.0,clean,1592
creative,,casual,vibe_astrology,fairness,vibe,1,6.0,clean,1511
creative,,casual,vibe_astrology,fairness,vibe,2,6.0,clean,1848
creative,,casual,vibe_astrology,fairness,vibe,4,6.5,clean,1526
creative,,casual,vibe_astrology,fairness,vibe,3,6.5,clean,1577
creative,,casual,vibe_astrology,fairness,vibe,5,5.0,clean,1705
creative,,casual,vibe_astrology,fairness,vibe,6,6.0,clean,1866
