model_key,framing,condition,family,sample_id,scalar,extraction_status,thinking_length
glm,first_person,vibe_astrology_fan,alt_wellness,16,4.0,clean,5940
glm,first_person,vibe_astrology_fan,alt_wellness,13,4.0,clean,7405
glm,first_person,vibe_astrology_fan,alt_wellness,14,5.0,clean,7664
glm,first_person,vibe_astrology_fan,alt_wellness,19,,refusal,8086
glm,first_person,vibe_astrology_fan,alt_wellness,18,4.0,clean,5488
glm,first_person,vibe_ayurveda,alt_wellness,2,4.0,clean,6673
glm,first_person,vibe_ayurveda,alt_wellness,0,4.0,clean,8315
glm,first_person,vibe_ayurveda,alt_wellness,1,4.0,clean,7329
glm,first_person,vibe_ayurveda,alt_wellness,3,4.0,clean,8337
glm,first_person,vibe_ayurveda,alt_wellness,9,4.0,clean,0
glm,first_person,vibe_ayurveda,alt_wellness,5,4.0,clean,4911
glm,first_person,vibe_ayurveda,alt_wellness,4,4.0,clean,5201
glm,first_person,vibe_ayurveda,alt_wellness,12,,no_scalar_found,5035
glm,first_person,vibe_ayurveda,alt_wellness,6,5.0,clean,5530
glm,first_person,vibe_ayurveda,alt_wellness,8,4.0,clean,5434
glm,first_person,vibe_ayurveda,alt_wellness,11,4.0,clean,7740
glm,first_person,vibe_ayurveda,alt_wellness,7,4.0,clean,6651
glm,first_person,vibe_ayurveda,alt_wellness,13,4.0,clean,5836
glm,first_person,vibe_ayurveda,alt_wellness,16,,no_scalar_found,6147
glm,first_person,vibe_ayurveda,alt_wellness,10,4.0,clean,8943
glm,first_person,vibe_ayurveda,alt_wellness,19,4.0,clean,5658
glm,first_person,vibe_ayurveda,alt_wellness,18,4.0,ambiguous_multiple_numbers,10323
glm,first_person,vibe_ayurveda,alt_wellness,14,4.0,clean,8576
glm,first_person,vibe_ayurveda,alt_wellness,15,5.0,clean,8771
glm,first_person,vibe_ayurveda,alt_wellness,17,6.0,clean,10120
glm,first_person,vibe_biohacker,biohacker,0,4.0,ambiguous_multiple_numbers,6586
glm,first_person,vibe_biohacker,biohacker,2,5.0,clean,7100
glm,first_person,vibe_biohacker,biohacker,4,,no_scalar_found,7079
glm,first_person,vibe_biohacker,biohacker,5,4.0,clean,6084
glm,first_person,vibe_biohacker,biohacker,7,4.0,ambiguous_multiple_numbers,11338
glm,first_person,vibe_biohacker,biohacker,3,5.0,clean,6084
glm,first_person,vibe_biohacker,biohacker,8,3.0,clean,8424
glm,first_person,vibe_biohacker,biohacker,9,3.0,clean,8474
glm,first_person,vibe_biohacker,biohacker,1,5.0,clean,9288
glm,first_person,vibe_biohacker,biohacker,6,4.0,clean,7169
glm,first_person,vibe_biohacker,biohacker,13,,refusal,4960
glm,first_person,vibe_biohacker,biohacker,10,4.0,clean,7207
glm,first_person,vibe_biohacker,biohacker,12,4.0,clean,7829
glm,first_person,vibe_biohacker,biohacker,11,4.0,clean,10972
glm,first_person,vibe_biohacker,biohacker,17,,refusal,4172
glm,first_person,vibe_biohacker,biohacker,18,4.0,clean,6366
glm,first_person,vibe_biohacker,biohacker,16,4.0,clean,9477
glm,first_person,vibe_biohacker,biohacker,19,4.0,clean,6290
glm,first_person,vibe_biohacker,biohacker,14,3.0,ambiguous_multiple_numbers,8499
glm,first_person,vibe_biohacker,biohacker,15,4.0,clean,13361
glm,first_person,vibe_carnivore,biohacker,3,,refusal,3737
glm,first_person,vibe_carnivore,biohacker,0,4.0,clean,6344
glm,first_person,vibe_carnivore,biohacker,2,4.0,clean,8599
glm,first_person,vibe_carnivore,biohacker,1,4.0,clean,5922
glm,first_person,vibe_carnivore,biohacker,4,,no_scalar_found,8309
glm,first_person,vibe_carnivore,biohacker,10,4.0,clean,6091
glm,first_person,vibe_carnivore,biohacker,11,6.0,clean,8005
glm,first_person,vibe_carnivore,biohacker,5,4.0,clean,7120
glm,first_person,vibe_carnivore,biohacker,6,,no_scalar_found,6094
glm,first_person,vibe_carnivore,biohacker,7,4.0,clean,8583
glm,first_person,vibe_carnivore,biohacker,12,5.0,clean,6742
glm,first_person,vibe_carnivore,biohacker,9,4.0,clean,8588
glm,first_person,vibe_carnivore,biohacker,8,3.0,clean,9191
glm,first_person,vibe_carnivore,biohacker,16,4.0,clean,8413
glm,first_person,vibe_carnivore,biohacker,19,,refusal,3916
glm,first_person,vibe_carnivore,biohacker,14,4.0,clean,6884
glm,first_person,vibe_carnivore,biohacker,18,4.0,clean,4312
glm,first_person,vibe_carnivore,biohacker,17,6.0,clean,7555
glm,first_person,vibe_carnivore,biohacker,15,4.0,clean,9486
glm,first_person,vibe_carnivore,biohacker,13,4.0,clean,11658
glm,first_person,vibe_conspiracy_mild,crunchy,0,4.0,clean,8024
glm,first_person,vibe_conspiracy_mild,crunchy,2,4.0,clean,7441
glm,first_person,vibe_conspiracy_mild,crunchy,3,4.0,clean,5695
glm,first_person,vibe_conspiracy_mild,crunchy,4,4.0,clean,8108
glm,first_person,vibe_conspiracy_mild,crunchy,5,4.0,clean,5036
glm,first_person,vibe_conspiracy_mild,crunchy,9,,no_scalar_found,7042
glm,first_person,vibe_conspiracy_mild,crunchy,7,,no_scalar_found,8206
glm,first_person,vibe_conspiracy_mild,crunchy,1,4.0,clean,7449
glm,first_person,vibe_conspiracy_mild,crunchy,6,4.0,clean,9447
glm,first_person,vibe_conspiracy_mild,crunchy,8,5.0,clean,6086
glm,first_person,vibe_conspiracy_mild,crunchy,10,3.0,ambiguous_multiple_numbers,9422
glm,first_person,vibe_conspiracy_mild,crunchy,13,4.0,clean,5249
glm,first_person,vibe_conspiracy_mild,crunchy,15,6.0,clean,5853
glm,first_person,vibe_conspiracy_mild,crunchy,14,5.0,clean,6477
glm,first_person,vibe_conspiracy_mild,crunchy,16,3.0,clean,6410
glm,first_person,vibe_conspiracy_mild,crunchy,11,,refusal,9690
glm,first_person,vibe_conspiracy_mild,crunchy,12,,refusal,10959
glm,first_person,vibe_conspiracy_mild,crunchy,17,4.5,clean,6639
glm,first_person,vibe_conspiracy_mild,crunchy,19,4.0,clean,7472
glm,first_person,vibe_conspiracy_mild,crunchy,18,,refusal,14629
glm,first_person,vibe_crunchy_mom,crunchy,0,,no_scalar_found,6583
glm,first_person,vibe_crunchy_mom,crunchy,1,5.0,clean,7165
glm,first_person,vibe_crunchy_mom,crunchy,3,7.0,clean,5691
glm,first_person,vibe_crunchy_mom,crunchy,2,7.0,clean,11437
glm,first_person,vibe_crunchy_mom,crunchy,4,4.5,clean,7112
glm,first_person,vibe_crunchy_mom,crunchy,6,7.0,clean,8210
glm,first_person,vibe_crunchy_mom,crunchy,9,5.0,clean,6800
glm,first_person,vibe_crunchy_mom,crunchy,7,6.0,clean,5444
glm,first_person,vibe_crunchy_mom,crunchy,8,4.0,ambiguous_multiple_numbers,10273
glm,first_person,vibe_crunchy_mom,crunchy,10,4.0,clean,6030
glm,first_person,vibe_crunchy_mom,crunchy,11,5.0,clean,7388
glm,first_person,vibe_crunchy_mom,crunchy,5,4.0,clean,10381
glm,first_person,vibe_crunchy_mom,crunchy,16,6.0,clean,6657
glm,first_person,vibe_crunchy_mom,crunchy,15,7.0,ambiguous_multiple_numbers,8043
glm,first_person,vibe_crunchy_mom,crunchy,13,6.0,clean,7787
glm,first_person,vibe_crunchy_mom,crunchy,14,5.0,ambiguous_multiple_numbers,13421
glm,first_person,vibe_crunchy_mom,crunchy,18,6.0,clean,7366
glm,first_person,vibe_crunchy_mom,crunchy,12,,refusal,15887
glm,first_person,vibe_crunchy_mom,crunchy,17,7.0,ambiguous_multiple_numbers,10974
glm,first_person,vibe_crunchy_mom,crunchy,19,5.0,clean,12307
glm,first_person,vibe_crystals,alt_wellness,1,4.0,clean,7919
glm,first_person,vibe_crystals,alt_wellness,3,4.0,clean,7007
glm,first_person,vibe_crystals,alt_wellness,2,5.0,clean,3118
glm,first_person,vibe_crystals,alt_wellness,5,4.0,clean,5826
glm,first_person,vibe_crystals,alt_wellness,0,,no_scalar_found,6195
glm,first_person,vibe_crystals,alt_wellness,7,5.0,clean,5255
glm,first_person,vibe_crystals,alt_wellness,8,4.0,clean,5097
glm,first_person,vibe_crystals,alt_wellness,9,5.0,clean,0
glm,first_person,vibe_crystals,alt_wellness,4,4.5,clean,5480
glm,first_person,vibe_crystals,alt_wellness,10,5.0,clean,6200
glm,first_person,vibe_crystals,alt_wellness,12,5.0,clean,6899
glm,first_person,vibe_crystals,alt_wellness,11,4.0,clean,6814
glm,first_person,vibe_crystals,alt_wellness,14,3.0,clean,5874
glm,first_person,vibe_crystals,alt_wellness,6,4.0,clean,6320
glm,first_person,vibe_crystals,alt_wellness,13,6.0,clean,9628
glm,first_person,vibe_crystals,alt_wellness,15,5.0,clean,6788
glm,first_person,vibe_crystals,alt_wellness,17,4.0,ambiguous_multiple_numbers,4860
glm,first_person,vibe_crystals,alt_wellness,16,9.0,clean,8500
glm,first_person,vibe_crystals,alt_wellness,18,4.0,clean,6306
glm,first_person,vibe_crystals,alt_wellness,19,4.0,clean,6816
glm,first_person,vibe_deadline_crunch,chaotic_life,1,3.0,clean,5359
glm,first_person,vibe_deadline_crunch,chaotic_life,3,4.0,clean,5813
glm,first_person,vibe_deadline_crunch,chaotic_life,0,3.0,clean,11069
glm,first_person,vibe_deadline_crunch,chaotic_life,5,3.0,clean,4845
glm,first_person,vibe_deadline_crunch,chaotic_life,7,,refusal,5366
glm,first_person,vibe_deadline_crunch,chaotic_life,4,3.0,clean,8615
glm,first_person,vibe_deadline_crunch,chaotic_life,9,,no_scalar_found,135
glm,first_person,vibe_deadline_crunch,chaotic_life,2,3.0,ambiguous_multiple_numbers,4999
glm,first_person,vibe_deadline_crunch,chaotic_life,6,4.0,clean,9455
glm,first_person,vibe_deadline_crunch,chaotic_life,8,,no_scalar_found,7496
glm,first_person,vibe_deadline_crunch,chaotic_life,10,4.0,clean,6960
glm,first_person,vibe_deadline_crunch,chaotic_life,13,4.0,clean,8321
glm,first_person,vibe_deadline_crunch,chaotic_life,14,3.0,clean,8040
glm,first_person,vibe_deadline_crunch,chaotic_life,16,4.0,clean,9481
glm,first_person,vibe_deadline_crunch,chaotic_life,17,3.0,clean,5950
glm,first_person,vibe_deadline_crunch,chaotic_life,12,4.0,clean,7044
glm,first_person,vibe_deadline_crunch,chaotic_life,18,5.0,clean,6635
glm,first_person,vibe_deadline_crunch,chaotic_life,19,4.0,clean,5861
glm,first_person,vibe_deadline_crunch,chaotic_life,15,3.0,clean,7266
glm,first_person,vibe_deadline_crunch,chaotic_life,11,4.0,clean,6225
glm,first_person,vibe_detox_juice,alt_wellness,0,4.0,clean,5568
glm,first_person,vibe_detox_juice,alt_wellness,4,4.0,clean,0
glm,first_person,vibe_detox_juice,alt_wellness,1,4.0,clean,6925
glm,first_person,vibe_detox_juice,alt_wellness,6,4.0,clean,6357
glm,first_person,vibe_detox_juice,alt_wellness,5,4.0,clean,8690
glm,first_person,vibe_detox_juice,alt_wellness,7,4.0,clean,9602
glm,first_person,vibe_detox_juice,alt_wellness,3,5.0,clean,6255
glm,first_person,vibe_detox_juice,alt_wellness,12,4.0,clean,0
glm,first_person,vibe_detox_juice,alt_wellness,9,,no_scalar_found,7994
glm,first_person,vibe_detox_juice,alt_wellness,11,3.0,clean,6561
glm,first_person,vibe_detox_juice,alt_wellness,10,4.0,clean,8174
glm,first_person,vibe_detox_juice,alt_wellness,16,3.0,clean,5851
glm,first_person,vibe_detox_juice,alt_wellness,14,4.0,ambiguous_multiple_numbers,10134
glm,first_person,vibe_detox_juice,alt_wellness,15,10.0,ambiguous_multiple_numbers,6995
glm,first_person,vibe_detox_juice,alt_wellness,8,3.0,clean,7832
glm,first_person,vibe_detox_juice,alt_wellness,2,,no_scalar_found,10282
glm,first_person,vibe_detox_juice,alt_wellness,17,,no_scalar_found,5435
glm,first_person,vibe_detox_juice,alt_wellness,19,3.0,clean,7500
glm,first_person,vibe_detox_juice,alt_wellness,13,4.0,clean,9234
glm,first_person,vibe_detox_juice,alt_wellness,18,4.0,ambiguous_multiple_numbers,6622
glm,first_person,vibe_energy_healer,alt_wellness,0,4.0,clean,6497
glm,first_person,vibe_energy_healer,alt_wellness,2,3.0,ambiguous_multiple_numbers,6370
glm,first_person,vibe_energy_healer,alt_wellness,5,4.0,clean,4898
glm,first_person,vibe_energy_healer,alt_wellness,1,3.0,clean,9995
glm,first_person,vibe_energy_healer,alt_wellness,3,5.0,clean,8462
glm,first_person,vibe_energy_healer,alt_wellness,4,,no_scalar_found,7519
glm,first_person,vibe_energy_healer,alt_wellness,7,4.0,clean,5482
glm,first_person,vibe_energy_healer,alt_wellness,6,1.5,clean,8489
glm,first_person,vibe_energy_healer,alt_wellness,8,4.0,clean,5535
glm,first_person,vibe_energy_healer,alt_wellness,11,,refusal,7003
glm,first_person,vibe_energy_healer,alt_wellness,12,,no_scalar_found,5134
glm,first_person,vibe_energy_healer,alt_wellness,13,4.0,clean,6181
glm,first_person,vibe_energy_healer,alt_wellness,9,4.0,clean,6500
glm,first_person,vibe_energy_healer,alt_wellness,10,4.0,clean,6564
glm,first_person,vibe_energy_healer,alt_wellness,16,,refusal,5669
glm,first_person,vibe_energy_healer,alt_wellness,14,4.0,clean,8044
glm,first_person,vibe_energy_healer,alt_wellness,18,4.0,clean,4402
glm,first_person,vibe_energy_healer,alt_wellness,15,5.0,clean,7732
glm,first_person,vibe_energy_healer,alt_wellness,17,6.0,clean,5219
glm,first_person,vibe_energy_healer,alt_wellness,19,3.0,clean,7129
glm,first_person,vibe_essential_oils,crunchy,1,3.0,clean,6327
glm,first_person,vibe_essential_oils,crunchy,2,4.0,clean,6049
glm,first_person,vibe_essential_oils,crunchy,4,4.0,clean,0
glm,first_person,vibe_essential_oils,crunchy,3,3.0,clean,7675
glm,first_person,vibe_essential_oils,crunchy,0,3.0,clean,8343
glm,first_person,vibe_essential_oils,crunchy,6,4.0,clean,4891
glm,first_person,vibe_essential_oils,crunchy,7,4.0,clean,7466
glm,first_person,vibe_essential_oils,crunchy,5,4.0,clean,6891
glm,first_person,vibe_essential_oils,crunchy,9,4.0,clean,7256
glm,first_person,vibe_essential_oils,crunchy,8,4.0,clean,6441
glm,first_person,vibe_essential_oils,crunchy,10,5.0,clean,8148
glm,first_person,vibe_essential_oils,crunchy,14,4.0,clean,5545
glm,first_person,vibe_essential_oils,crunchy,11,4.0,clean,10283
glm,first_person,vibe_essential_oils,crunchy,13,3.0,clean,5590
glm,first_person,vibe_essential_oils,crunchy,16,3.0,clean,5695
glm,first_person,vibe_essential_oils,crunchy,15,3.0,clean,7962
glm,first_person,vibe_essential_oils,crunchy,12,4.0,clean,9420
glm,first_person,vibe_essential_oils,crunchy,17,4.0,clean,6992
glm,first_person,vibe_essential_oils,crunchy,18,4.0,ambiguous_multiple_numbers,6016
glm,first_person,vibe_essential_oils,crunchy,19,4.0,clean,7766
glm,first_person,vibe_family_drama,chaotic_life,1,3.0,clean,9304
glm,first_person,vibe_family_drama,chaotic_life,0,,no_scalar_found,6167
glm,first_person,vibe_family_drama,chaotic_life,2,5.0,clean,10360
glm,first_person,vibe_family_drama,chaotic_life,7,3.5,clean,5777
glm,first_person,vibe_family_drama,chaotic_life,5,4.0,clean,5361
glm,first_person,vibe_family_drama,chaotic_life,3,4.0,clean,5756
glm,first_person,vibe_family_drama,chaotic_life,9,5.0,clean,0
glm,first_person,vibe_family_drama,chaotic_life,4,5.0,clean,5676
glm,first_person,vibe_family_drama,chaotic_life,11,3.0,clean,5643
glm,first_person,vibe_family_drama,chaotic_life,10,3.0,ambiguous_multiple_numbers,9529
glm,first_person,vibe_family_drama,chaotic_life,12,,refusal,7998
glm,first_person,vibe_family_drama,chaotic_life,13,3.0,clean,5645
glm,first_person,vibe_family_drama,chaotic_life,15,,refusal,5610
glm,first_person,vibe_family_drama,chaotic_life,14,,refusal,5203
glm,first_person,vibe_family_drama,chaotic_life,8,4.0,clean,5353
glm,first_person,vibe_family_drama,chaotic_life,17,3.0,clean,5494
glm,first_person,vibe_family_drama,chaotic_life,6,4.0,ambiguous_multiple_numbers,6107
glm,first_person,vibe_family_drama,chaotic_life,18,3.5,clean,6998
glm,first_person,vibe_family_drama,chaotic_life,16,3.0,clean,6057
glm,first_person,vibe_family_drama,chaotic_life,19,,no_scalar_found,6251
glm,first_person,vibe_hsp,personality,2,4.0,clean,8428
glm,first_person,vibe_hsp,personality,4,3.0,clean,6025
glm,first_person,vibe_hsp,personality,5,3.0,clean,5873
glm,first_person,vibe_hsp,personality,3,,refusal,10304
glm,first_person,vibe_hsp,personality,7,4.0,clean,6861
glm,first_person,vibe_hsp,personality,10,3.0,clean,0
glm,first_person,vibe_hsp,personality,11,3.0,clean,0
glm,first_person,vibe_hsp,personality,9,4.0,clean,5045
glm,first_person,vibe_hsp,personality,0,3.0,clean,7140
glm,first_person,vibe_hsp,personality,6,,no_scalar_found,5450
glm,first_person,vibe_hsp,personality,1,4.0,clean,6279
glm,first_person,vibe_hsp,personality,12,4.0,ambiguous_multiple_numbers,4930
glm,first_person,vibe_hsp,personality,13,,no_scalar_found,6697
glm,first_person,vibe_hsp,personality,17,3.0,clean,4522
glm,first_person,vibe_hsp,personality,18,4.0,clean,6911
glm,first_person,vibe_hsp,personality,19,4.0,clean,6653
glm,first_person,vibe_hsp,personality,15,,refusal,5001
glm,first_person,vibe_hsp,personality,8,,refusal,9311
glm,first_person,vibe_hsp,personality,14,,no_scalar_found,8039
glm,first_person,vibe_hsp,personality,16,3.0,clean,9083
glm,first_person,vibe_manifestation,alt_wellness,0,6.0,clean,5325
glm,first_person,vibe_manifestation,alt_wellness,1,4.0,clean,6765
glm,first_person,vibe_manifestation,alt_wellness,3,4.0,clean,4831
glm,first_person,vibe_manifestation,alt_wellness,2,,no_scalar_found,6507
glm,first_person,vibe_manifestation,alt_wellness,4,,refusal,8216
glm,first_person,vibe_manifestation,alt_wellness,6,4.0,clean,6484
glm,first_person,vibe_manifestation,alt_wellness,7,4.0,clean,5857
glm,first_person,vibe_manifestation,alt_wellness,8,3.0,ambiguous_multiple_numbers,6793
glm,first_person,vibe_manifestation,alt_wellness,5,4.0,clean,5785
glm,first_person,vibe_manifestation,alt_wellness,9,4.0,clean,6165
glm,first_person,vibe_manifestation,alt_wellness,12,4.0,clean,5216
glm,first_person,vibe_manifestation,alt_wellness,13,4.0,clean,6453
glm,first_person,vibe_manifestation,alt_wellness,16,5.0,clean,5105
glm,first_person,vibe_manifestation,alt_wellness,10,6.0,clean,8603
glm,first_person,vibe_manifestation,alt_wellness,11,4.0,clean,8520
glm,first_person,vibe_manifestation,alt_wellness,17,4.0,clean,5839
glm,first_person,vibe_manifestation,alt_wellness,18,4.0,clean,4451
glm,first_person,vibe_manifestation,alt_wellness,15,4.0,clean,6261
glm,first_person,vibe_manifestation,alt_wellness,14,,no_scalar_found,7464
glm,first_person,vibe_manifestation,alt_wellness,19,4.0,clean,7934
glm,first_person,vibe_mercury_retrograde,chaotic_life,0,5.0,clean,5260
glm,first_person,vibe_mercury_retrograde,chaotic_life,1,5.0,clean,6731
glm,first_person,vibe_mercury_retrograde,chaotic_life,6,5.0,clean,0
glm,first_person,vibe_mercury_retrograde,chaotic_life,3,4.0,clean,5271
glm,first_person,vibe_mercury_retrograde,chaotic_life,2,4.0,clean,5907
glm,first_person,vibe_mercury_retrograde,chaotic_life,5,4.0,clean,5180
glm,first_person,vibe_mercury_retrograde,chaotic_life,8,4.0,clean,8803
glm,first_person,vibe_mercury_retrograde,chaotic_life,9,,refusal,7930
glm,first_person,vibe_mercury_retrograde,chaotic_life,10,5.0,ambiguous_multiple_numbers,7059
glm,first_person,vibe_mercury_retrograde,chaotic_life,4,,no_scalar_found,5605
glm,first_person,vibe_mercury_retrograde,chaotic_life,11,4.0,clean,8583
glm,first_person,vibe_mercury_retrograde,chaotic_life,12,4.0,clean,7454
glm,first_person,vibe_mercury_retrograde,chaotic_life,14,3.0,clean,5287
glm,first_person,vibe_mercury_retrograde,chaotic_life,13,4.0,clean,8203
glm,first_person,vibe_mercury_retrograde,chaotic_life,16,4.0,clean,5957
glm,first_person,vibe_mercury_retrograde,chaotic_life,7,4.0,clean,5490
glm,first_person,vibe_mercury_retrograde,chaotic_life,17,3.0,clean,7442
glm,first_person,vibe_mercury_retrograde,chaotic_life,18,5.0,clean,7717
glm,first_person,vibe_mercury_retrograde,chaotic_life,19,4.0,clean,6230
glm,first_person,vibe_mercury_retrograde,chaotic_life,15,6.0,clean,5522
glm,first_person,vibe_people_pleaser,personality,0,3.0,clean,5779
glm,first_person,vibe_people_pleaser,personality,2,3.0,clean,3819
glm,first_person,vibe_people_pleaser,personality,3,4.0,clean,5445
glm,first_person,vibe_people_pleaser,personality,6,3.0,clean,0
glm,first_person,vibe_people_pleaser,personality,4,,no_scalar_found,5322
glm,first_person,vibe_people_pleaser,personality,8,3.0,clean,0
glm,first_person,vibe_people_pleaser,personality,9,3.0,clean,0
glm,first_person,vibe_people_pleaser,personality,1,4.0,clean,5074
glm,first_person,vibe_people_pleaser,personality,5,4.0,clean,4912
glm,first_person,vibe_people_pleaser,personality,7,5.0,clean,6459
glm,first_person,vibe_people_pleaser,personality,12,4.0,clean,7193
glm,first_person,vibe_people_pleaser,personality,13,4.0,clean,5964
glm,first_person,vibe_people_pleaser,personality,11,4.0,clean,5635
glm,first_person,vibe_people_pleaser,personality,14,4.0,clean,7389
glm,first_person,vibe_people_pleaser,personality,15,4.0,clean,7233
glm,first_person,vibe_people_pleaser,personality,17,4.0,ambiguous_multiple_numbers,5026
glm,first_person,vibe_people_pleaser,personality,16,3.0,ambiguous_multiple_numbers,6228
glm,first_person,vibe_people_pleaser,personality,19,3.0,clean,4897
glm,first_person,vibe_people_pleaser,personality,10,6.0,clean,9306
glm,first_person,vibe_people_pleaser,personality,18,,no_scalar_found,12008
glm,first_person,vibe_perfectionist,personality,0,4.0,clean,5407
glm,first_person,vibe_perfectionist,personality,3,4.0,clean,6176
glm,first_person,vibe_perfectionist,personality,1,4.0,clean,6990
glm,first_person,vibe_perfectionist,personality,4,3.0,ambiguous_multiple_numbers,4536
glm,first_person,vibe_perfectionist,personality,5,3.0,clean,5730
glm,first_person,vibe_perfectionist,personality,7,4.0,clean,5820
glm,first_person,vibe_perfectionist,personality,8,3.0,clean,5085
glm,first_person,vibe_perfectionist,personality,2,3.0,clean,6857
glm,first_person,vibe_perfectionist,personality,10,3.0,clean,5328
glm,first_person,vibe_perfectionist,personality,9,4.0,clean,5927
glm,first_person,vibe_perfectionist,personality,11,,refusal,6530
glm,first_person,vibe_perfectionist,personality,12,4.0,clean,6715
glm,first_person,vibe_perfectionist,personality,13,4.0,clean,3598
glm,first_person,vibe_perfectionist,personality,6,,no_scalar_found,3204
glm,first_person,vibe_perfectionist,personality,16,3.0,clean,5787
glm,first_person,vibe_perfectionist,personality,15,3.0,clean,8186
glm,first_person,vibe_perfectionist,personality,14,3.0,clean,6818
glm,first_person,vibe_perfectionist,personality,17,4.0,clean,6282
glm,first_person,vibe_perfectionist,personality,19,4.0,clean,6805
glm,first_person,vibe_perfectionist,personality,18,4.0,clean,8931
glm,first_person,vibe_quantified_self,biohacker,1,6.0,clean,5410
glm,first_person,vibe_quantified_self,biohacker,3,4.0,clean,5321
glm,first_person,vibe_quantified_self,biohacker,2,4.0,clean,6949
glm,first_person,vibe_quantified_self,biohacker,4,4.0,clean,6177
glm,first_person,vibe_quantified_self,biohacker,5,4.0,clean,5987
