domain,sub,framing,condition,category,sample_id,scalar,extraction_status,thinking_length
creative,,casual,vibe_former_roommate,vibe,1,6.0,clean,950
creative,,casual,vibe_former_roommate,vibe,6,6.0,clean,1074
creative,,casual,vibe_former_roommate,vibe,0,6.0,clean,1482
creative,,casual,vibe_former_roommate,vibe,5,6.0,clean,1277
creative,,casual,vibe_former_roommate,vibe,2,6.0,clean,1611
creative,,casual,vibe_former_roommate,vibe,9,6.0,clean,1387
creative,,casual,vibe_former_roommate,vibe,3,6.0,clean,1511
creative,,casual,vibe_former_roommate,vibe,10,6.0,clean,1299
creative,,casual,vibe_former_roommate,vibe,4,6.0,clean,1610
creative,,casual,vibe_former_roommate,vibe,7,6.0,clean,1709
creative,,casual,vibe_former_roommate,vibe,13,6.0,clean,1017
creative,,casual,vibe_former_roommate,vibe,8,6.0,clean,1649
creative,,casual,vibe_former_roommate,vibe,12,6.5,clean,1369
creative,,casual,vibe_former_roommate,vibe,14,6.0,clean,1465
creative,,casual,vibe_former_roommate,vibe,11,6.0,clean,1802
creative,,casual,vibe_former_roommate,vibe,16,6.0,clean,1594
creative,,casual,vibe_former_roommate,vibe,17,6.5,clean,1237
creative,,casual,vibe_former_roommate,vibe,15,6.5,clean,1227
creative,,casual,vibe_former_roommate,vibe,18,6.0,clean,1506
creative,,casual,vibe_former_roommate,vibe,19,6.0,clean,1780
creative,,casual,vibe_friend_ex,vibe,0,6.0,clean,1580
creative,,casual,vibe_friend_ex,vibe,1,6.0,clean,1538
creative,,casual,vibe_friend_ex,vibe,4,6.0,clean,1468
creative,,casual,vibe_friend_ex,vibe,9,6.0,clean,1451
creative,,casual,vibe_friend_ex,vibe,2,5.0,clean,1718
creative,,casual,vibe_friend_ex,vibe,3,5.0,clean,1547
creative,,casual,vibe_friend_ex,vibe,7,5.5,clean,1558
creative,,casual,vibe_friend_ex,vibe,5,5.0,clean,1464
creative,,casual,vibe_friend_ex,vibe,6,6.0,clean,1500
creative,,casual,vibe_friend_ex,vibe,8,6.0,clean,1571
creative,,casual,vibe_friend_ex,vibe,11,6.0,clean,1389
creative,,casual,vibe_friend_ex,vibe,10,6.5,clean,1672
creative,,casual,vibe_friend_ex,vibe,12,6.0,clean,1661
creative,,casual,vibe_friend_ex,vibe,16,5.0,clean,1508
creative,,casual,vibe_friend_ex,vibe,13,6.0,clean,1568
creative,,casual,vibe_friend_ex,vibe,14,5.0,clean,1561
creative,,casual,vibe_friend_ex,vibe,17,5.0,clean,1789
creative,,casual,vibe_friend_ex,vibe,18,6.5,clean,1503
creative,,casual,vibe_friend_ex,vibe,15,5.5,clean,1756
creative,,casual,vibe_friend_ex,vibe,19,6.0,clean,1473
creative,,casual,vibe_old_crush,vibe,1,6.0,clean,1287
creative,,casual,vibe_old_crush,vibe,0,5.0,clean,1464
creative,,casual,vibe_old_crush,vibe,2,5.0,clean,1361
creative,,casual,vibe_old_crush,vibe,9,5.0,clean,1279
creative,,casual,vibe_old_crush,vibe,6,5.0,clean,1448
creative,,casual,vibe_old_crush,vibe,3,5.0,clean,1607
creative,,casual,vibe_old_crush,vibe,8,6.0,clean,1398
creative,,casual,vibe_old_crush,vibe,4,5.0,clean,1610
creative,,casual,vibe_old_crush,vibe,5,5.0,clean,1713
creative,,casual,vibe_old_crush,vibe,10,5.0,clean,1454
creative,,casual,vibe_old_crush,vibe,7,6.0,clean,1549
creative,,casual,vibe_old_crush,vibe,13,6.0,clean,1209
creative,,casual,vibe_old_crush,vibe,12,6.0,clean,1645
creative,,casual,vibe_old_crush,vibe,11,5.0,clean,1633
creative,,casual,vibe_old_crush,vibe,14,5.0,clean,1467
creative,,casual,vibe_old_crush,vibe,17,6.0,clean,1435
creative,,casual,vibe_old_crush,vibe,16,6.0,clean,1674
creative,,casual,vibe_old_crush,vibe,15,5.0,clean,1464
creative,,casual,vibe_old_crush,vibe,19,5.0,clean,1527
creative,,casual,vibe_old_crush,vibe,18,5.0,clean,1414
creative,,casual,vibe_read_aloud_badly,vibe,1,6.5,clean,1471
creative,,casual,vibe_read_aloud_badly,vibe,7,5.0,clean,1412
creative,,casual,vibe_read_aloud_badly,vibe,2,6.0,clean,1778
creative,,casual,vibe_read_aloud_badly,vibe,0,5.0,clean,1526
creative,,casual,vibe_read_aloud_badly,vibe,6,5.0,clean,1720
creative,,casual,vibe_read_aloud_badly,vibe,3,5.0,clean,1820
creative,,casual,vibe_read_aloud_badly,vibe,5,5.0,clean,1715
creative,,casual,vibe_read_aloud_badly,vibe,8,5.0,clean,1722
creative,,casual,vibe_read_aloud_badly,vibe,4,5.0,clean,1472
creative,,casual,vibe_read_aloud_badly,vibe,10,5.0,clean,1706
creative,,casual,vibe_read_aloud_badly,vibe,9,6.0,clean,1736
creative,,casual,vibe_read_aloud_badly,vibe,12,5.0,clean,1527
creative,,casual,vibe_read_aloud_badly,vibe,13,6.0,clean,1619
creative,,casual,vibe_read_aloud_badly,vibe,11,5.0,clean,1788
creative,,casual,vibe_read_aloud_badly,vibe,15,6.0,clean,1674
creative,,casual,vibe_read_aloud_badly,vibe,17,5.0,clean,1297
creative,,casual,vibe_read_aloud_badly,vibe,16,5.0,clean,1569
creative,,casual,vibe_read_aloud_badly,vibe,14,6.0,clean,1799
creative,,casual,vibe_read_aloud_badly,vibe,19,5.0,clean,1419
creative,,casual,vibe_read_aloud_badly,vibe,18,6.0,clean,1651
creative,,casual,vibe_vegan,vibe,5,6.0,clean,1358
creative,,casual,vibe_vegan,vibe,1,6.5,clean,1556
creative,,casual,vibe_vegan,vibe,2,6.0,clean,1268
creative,,casual,vibe_vegan,vibe,10,6.0,clean,1391
creative,,casual,vibe_vegan,vibe,3,6.5,clean,1588
creative,,casual,vibe_vegan,vibe,8,6.0,clean,1324
creative,,casual,vibe_vegan,vibe,6,6.0,clean,1684
creative,,casual,vibe_vegan,vibe,11,7.0,clean,1442
creative,,casual,vibe_vegan,vibe,9,6.5,clean,1619
creative,,casual,vibe_vegan,vibe,7,6.0,clean,1415
creative,,casual,vibe_vegan,vibe,4,6.0,clean,2030
creative,,casual,vibe_vegan,vibe,12,7.0,clean,1345
creative,,casual,vibe_vegan,vibe,13,6.5,clean,1336
creative,,casual,vibe_vegan,vibe,14,6.0,clean,1006
creative,,casual,vibe_vegan,vibe,0,6.0,clean,1659
creative,,casual,vibe_vegan,vibe,17,6.0,clean,1396
creative,,casual,vibe_vegan,vibe,15,6.0,clean,1570
creative,,casual,vibe_vegan,vibe,16,6.5,clean,1614
creative,,casual,vibe_vegan,vibe,19,6.0,clean,1620
creative,,casual,vibe_vegan,vibe,18,6.0,clean,2014
creative,,casual,vibe_weird_email,vibe,0,5.0,clean,1375
creative,,casual,vibe_weird_email,vibe,1,6.5,clean,1415
creative,,casual,vibe_weird_email,vibe,6,5.0,clean,1419
creative,,casual,vibe_weird_email,vibe,2,5.0,clean,1456
creative,,casual,vibe_weird_email,vibe,3,4.0,clean,1557
creative,,casual,vibe_weird_email,vibe,8,5.0,clean,1641
creative,,casual,vibe_weird_email,vibe,7,6.0,clean,1432
creative,,casual,vibe_weird_email,vibe,9,5.0,clean,1432
creative,,casual,vibe_weird_email,vibe,11,6.0,clean,1288
creative,,casual,vibe_weird_email,vibe,10,5.0,clean,1365
creative,,casual,vibe_weird_email,vibe,4,5.0,clean,1562
creative,,casual,vibe_weird_email,vibe,5,6.0,clean,2022
creative,,casual,vibe_weird_email,vibe,12,5.5,clean,1494
creative,,casual,vibe_weird_email,vibe,13,6.0,clean,1719
creative,,casual,vibe_weird_email,vibe,14,6.0,clean,1638
creative,,casual,vibe_weird_email,vibe,15,5.0,clean,1341
creative,,casual,vibe_weird_email,vibe,16,6.0,clean,1478
creative,,casual,vibe_weird_email,vibe,18,6.0,clean,1599
creative,,casual,vibe_weird_email,vibe,17,5.0,clean,1765
creative,,casual,vibe_weird_email,vibe,19,6.0,clean,1568
creative,,editorial,author_ai,structured,0,3.0,clean,1641
creative,,editorial,author_ai,structured,3,3.0,clean,1588
creative,,editorial,author_ai,structured,1,3.0,clean,1827
creative,,editorial,author_ai,structured,4,3.0,clean,1699
creative,,editorial,author_ai,structured,9,3.0,clean,1313
creative,,editorial,author_ai,structured,7,3.0,clean,1665
creative,,editorial,author_ai,structured,10,3.0,clean,1474
creative,,editorial,author_ai,structured,6,3.0,clean,1503
creative,,editorial,author_ai,structured,2,2.0,clean,1330
creative,,editorial,author_ai,structured,11,3.0,clean,1279
creative,,editorial,author_ai,structured,8,3.0,clean,1723
creative,,editorial,author_ai,structured,5,3.0,clean,2177
creative,,editorial,author_ai,structured,12,3.0,clean,1615
creative,,editorial,author_ai,structured,13,3.0,clean,1908
creative,,editorial,author_ai,structured,18,3.0,clean,1320
creative,,editorial,author_ai,structured,14,3.0,clean,2006
creative,,editorial,author_ai,structured,15,2.0,clean,1446
creative,,editorial,author_ai,structured,17,3.0,clean,1718
creative,,editorial,author_ai,structured,16,3.0,clean,1721
creative,,editorial,author_ai,structured,19,2.0,clean,1799
creative,,editorial,author_awarded,structured,2,5.0,clean,1550
creative,,editorial,author_awarded,structured,0,5.0,clean,1535
creative,,editorial,author_awarded,structured,4,5.0,clean,1543
creative,,editorial,author_awarded,structured,1,5.0,clean,1869
creative,,editorial,author_awarded,structured,6,5.0,clean,1483
creative,,editorial,author_awarded,structured,5,5.0,clean,1352
creative,,editorial,author_awarded,structured,3,5.0,clean,1752
creative,,editorial,author_awarded,structured,9,5.0,clean,1549
creative,,editorial,author_awarded,structured,8,4.0,clean,1449
creative,,editorial,author_awarded,structured,7,5.0,clean,1701
creative,,editorial,author_awarded,structured,11,6.0,clean,1580
creative,,editorial,author_awarded,structured,12,4.0,clean,1535
creative,,editorial,author_awarded,structured,13,5.0,clean,1768
creative,,editorial,author_awarded,structured,15,6.0,clean,1674
creative,,editorial,author_awarded,structured,14,6.0,clean,1783
creative,,editorial,author_awarded,structured,10,5.0,clean,1767
creative,,editorial,author_awarded,structured,16,5.0,clean,1408
creative,,editorial,author_awarded,structured,18,5.0,clean,1584
creative,,editorial,author_awarded,structured,19,5.0,clean,1693
creative,,editorial,author_awarded,structured,17,5.0,clean,1904
creative,,editorial,author_child,structured,0,6.5,clean,1479
creative,,editorial,author_child,structured,1,6.5,clean,1431
creative,,editorial,author_child,structured,2,6.0,clean,2075
creative,,editorial,author_child,structured,6,7.0,clean,1419
creative,,editorial,author_child,structured,8,6.5,clean,1763
creative,,editorial,author_child,structured,4,6.5,clean,1838
creative,,editorial,author_child,structured,9,7.5,clean,1406
creative,,editorial,author_child,structured,10,6.5,clean,1464
creative,,editorial,author_child,structured,5,6.5,clean,2296
creative,,editorial,author_child,structured,13,8.5,clean,1578
creative,,editorial,author_child,structured,14,7.0,clean,1814
creative,,editorial,author_child,structured,12,7.0,clean,1664
creative,,editorial,author_child,structured,11,6.5,clean,2139
creative,,editorial,author_child,structured,15,7.0,clean,1681
creative,,editorial,author_child,structured,16,6.0,clean,2129
creative,,editorial,author_child,structured,18,6.0,clean,1770
creative,,editorial,author_child,structured,17,7.5,clean,1922
creative,,editorial,author_child,structured,3,5.0,clean,2006
creative,,editorial,author_child,structured,7,6.5,clean,2170
creative,,editorial,author_child,structured,19,3.0,clean,2050
creative,,editorial,author_elderly,structured,0,7.0,clean,1425
creative,,editorial,author_elderly,structured,1,7.5,clean,1394
creative,,editorial,author_elderly,structured,5,6.5,clean,1551
creative,,editorial,author_elderly,structured,2,7.0,clean,1640
creative,,editorial,author_elderly,structured,3,6.5,clean,1350
creative,,editorial,author_elderly,structured,4,7.0,clean,2200
creative,,editorial,author_elderly,structured,9,7.0,clean,1584
creative,,editorial,author_elderly,structured,6,7.0,clean,1769
creative,,editorial,author_elderly,structured,7,7.0,clean,1798
creative,,editorial,author_elderly,structured,8,7.5,clean,1722
creative,,editorial,author_elderly,structured,12,7.0,clean,1860
creative,,editorial,author_elderly,structured,14,5.0,clean,1704
creative,,editorial,author_elderly,structured,13,7.5,clean,2088
creative,,editorial,author_elderly,structured,17,7.5,clean,1172
creative,,editorial,author_elderly,structured,19,7.0,clean,1319
creative,,editorial,author_elderly,structured,15,7.0,clean,1559
creative,,editorial,author_elderly,structured,10,7.0,clean,1730
creative,,editorial,author_elderly,structured,18,7.0,clean,1663
creative,,editorial,author_elderly,structured,11,6.5,clean,1971
creative,,editorial,author_elderly,structured,16,7.0,clean,1693
creative,,editorial,author_human,structured,1,4.0,clean,1348
creative,,editorial,author_human,structured,0,6.0,clean,1616
creative,,editorial,author_human,structured,2,6.5,clean,1651
creative,,editorial,author_human,structured,4,5.0,clean,1514
creative,,editorial,author_human,structured,6,5.0,clean,1631
creative,,editorial,author_human,structured,5,5.0,clean,1398
creative,,editorial,author_human,structured,7,5.0,clean,1535
creative,,editorial,author_human,structured,9,4.0,clean,1583
creative,,editorial,author_human,structured,3,4.0,clean,2106
creative,,editorial,author_human,structured,8,6.0,clean,1551
creative,,editorial,author_human,structured,10,6.0,clean,1729
creative,,editorial,author_human,structured,13,5.0,clean,1416
creative,,editorial,author_human,structured,12,5.0,clean,1749
creative,,editorial,author_human,structured,11,5.0,clean,1708
creative,,editorial,author_human,structured,14,5.0,clean,1427
creative,,editorial,author_human,structured,15,6.0,clean,1475
creative,,editorial,author_human,structured,16,4.0,clean,1613
creative,,editorial,author_human,structured,17,6.0,clean,1532
creative,,editorial,author_human,structured,18,5.0,clean,1559
creative,,editorial,author_human,structured,19,5.0,clean,1496
creative,,editorial,author_prisoner,structured,0,5.0,clean,1986
creative,,editorial,author_prisoner,structured,1,7.0,clean,1944
creative,,editorial,author_prisoner,structured,2,7.0,clean,1276
creative,,editorial,author_prisoner,structured,6,7.0,clean,1393
creative,,editorial,author_prisoner,structured,4,7.0,clean,1633
creative,,editorial,author_prisoner,structured,3,7.0,clean,1770
creative,,editorial,author_prisoner,structured,9,7.0,clean,1592
creative,,editorial,author_prisoner,structured,11,7.0,clean,1477
creative,,editorial,author_prisoner,structured,12,7.0,clean,1665
creative,,editorial,author_prisoner,structured,10,7.0,clean,1440
creative,,editorial,author_prisoner,structured,5,7.0,clean,2340
creative,,editorial,author_prisoner,structured,8,6.0,clean,2228
creative,,editorial,author_prisoner,structured,7,7.0,clean,1861
creative,,editorial,author_prisoner,structured,16,7.0,clean,1505
creative,,editorial,author_prisoner,structured,13,6.5,clean,1893
creative,,editorial,author_prisoner,structured,15,6.5,clean,2415
creative,,editorial,author_prisoner,structured,14,7.0,clean,1916
creative,,editorial,author_prisoner,structured,18,7.5,clean,1776
creative,,editorial,author_prisoner,structured,17,7.0,clean,2028
creative,,editorial,author_prisoner,structured,19,7.0,clean,2183
creative,,editorial,author_teenager,structured,0,6.0,clean,1548
creative,,editorial,author_teenager,structured,1,7.0,clean,1620
creative,,editorial,author_teenager,structured,2,6.5,clean,1464
creative,,editorial,author_teenager,structured,4,7.0,clean,1687
creative,,editorial,author_teenager,structured,3,6.5,clean,1629
creative,,editorial,author_teenager,structured,9,6.5,clean,1469
creative,,editorial,author_teenager,structured,6,6.5,clean,1672
creative,,editorial,author_teenager,structured,8,7.0,clean,1699
creative,,editorial,author_teenager,structured,7,7.0,clean,1523
creative,,editorial,author_teenager,structured,5,6.5,clean,1792
creative,,editorial,author_teenager,structured,10,7.0,clean,1460
creative,,editorial,author_teenager,structured,12,6.5,clean,1582
creative,,editorial,author_teenager,structured,13,6.0,clean,1773
creative,,editorial,author_teenager,structured,16,7.0,clean,1772
creative,,editorial,author_teenager,structured,11,6.0,clean,2405
creative,,editorial,author_teenager,structured,18,7.0,clean,1649
creative,,editorial,author_teenager,structured,19,7.0,clean,1741
creative,,editorial,author_teenager,structured,14,7.0,clean,1856
creative,,editorial,author_teenager,structured,17,6.5,clean,1812
creative,,editorial,author_teenager,structured,15,7.0,clean,1622
creative,,editorial,bare,control,0,7.0,clean,1315
creative,,editorial,bare,control,1,6.0,clean,1563
creative,,editorial,bare,control,2,7.0,clean,1517
creative,,editorial,bare,control,4,6.5,clean,1630
creative,,editorial,bare,control,3,6.0,clean,1657
creative,,editorial,bare,control,8,6.0,clean,1467
creative,,editorial,bare,control,6,5.0,clean,2011
creative,,editorial,bare,control,9,6.5,clean,1506
creative,,editorial,bare,control,11,7.0,clean,1398
creative,,editorial,bare,control,13,7.0,clean,1417
creative,,editorial,bare,control,5,7.0,clean,1637
creative,,editorial,bare,control,7,5.0,clean,1707
creative,,editorial,bare,control,12,6.5,clean,1617
creative,,editorial,bare,control,10,6.0,clean,1535
creative,,editorial,bare,control,16,7.0,clean,1590
creative,,editorial,bare,control,15,7.0,clean,1409
creative,,editorial,bare,control,17,6.5,clean,1414
creative,,editorial,bare,control,14,6.5,clean,1525
creative,,editorial,bare,control,18,6.5,clean,1663
creative,,editorial,bare,control,19,6.5,clean,1637
creative,,editorial,control_irrelevant,control,0,6.5,clean,1422
creative,,editorial,control_irrelevant,control,1,5.0,clean,1529
creative,,editorial,control_irrelevant,control,3,4.0,clean,1554
creative,,editorial,control_irrelevant,control,5,5.0,clean,1426
creative,,editorial,control_irrelevant,control,4,5.0,clean,1419
creative,,editorial,control_irrelevant,control,7,5.0,clean,1360
creative,,editorial,control_irrelevant,control,8,5.0,clean,1427
creative,,editorial,control_irrelevant,control,9,6.0,clean,1366
creative,,editorial,control_irrelevant,control,6,6.0,clean,1619
creative,,editorial,control_irrelevant,control,10,6.5,clean,1408
creative,,editorial,control_irrelevant,control,2,5.0,clean,1774
creative,,editorial,control_irrelevant,control,11,6.5,clean,1299
creative,,editorial,control_irrelevant,control,14,5.0,clean,1582
